BEBE,20100623,6.57,6.81,6.47,6.63,6.63,1085075
BECN,20100623,18,18.59,17.87,18.42,18.42,904256
BELFA,20100623,17.96,17.96,17.96,17.96,17.96,0
BELFB,20100623,18.59,18.81,18.3,18.56,18.56,12587
BELM,20100623,6.97,6.98,6.97,6.97,6.97,173086
BERK,20100623,5.13,5.13,4.75,5,5,6050
BEST,20100623,1.13,1.14,1.13,1.14,1.14,58716
BEXP,20100623,17.15,17.32,16.39,17.09,17.09,3393887
BFED,20100623,8.79,8.95,8.79,8.95,8.95,4650
BFIN,20100623,8.68,8.81,8.53,8.66,8.66,64089
BFLY,20100623,2.05,2.2,2.05,2.15,2.15,20907
BFSB,20100623,5.01,5.1,4.53,4.64,4.64,6222
BGCP,20100623,5.6,5.665,5.51,5.58,5.58,288927
BGFV,20100623,13.57,13.94,13.49,13.79,13.79,50720
BHLB,20100623,19.19,19.97,18.91,19.89,19.89,48555
BIB,20100623,45.7,45.7,45.7,45.7,45.7,0
BICK,20100623,28.32,28.675,28.32,28.675,28.675,2070
BIDU,20100623,75.93,76.62,74.25,76.19,76.19,9874110
BIDZ,20100623,1.53,1.64,1.52,1.58,1.58,7996
BIIB,20100623,49.44,49.88,49.22,49.69,49.69,1805400
BIOC,20100623,4.31,4.33,4.09,4.15,4.15,26353
BIOD,20100623,4.25,4.3,4.14,4.2,4.2,196986
BIOF,20100623,1.71,1.75,1.67,1.73,1.73,37616
BIOS,20100623,6.09,6.16,5.93,5.97,5.97,380547
BIS,20100623,73.48,73.48,73.07,73.07,73.07,1204
BITS,20100623,6.8499,6.88,6.5601,6.83,6.83,2952
BJGP,20100623,4.87,4.95,4.85,4.85,4.85,50149
BJRI,20100623,24.5,24.6,24.01,24.52,24.52,188943
BKBK,20100623,11.02,11.02,11.02,11.02,11.02,0
BKCC,20100623,10,10.11,10,10.03,10.03,708348
BKMU,20100623,6.16,6.19,6.01,6.02,6.02,63515
BKSC,20100623,10.07,10.15,10.05,10.05,10.05,1300
BKYF,20100623,15.71,16.35,15.6,15.79,15.79,19820
BLDP,20100623,1.81,1.81,1.72,1.74,1.74,455852
BLDR,20100623,2.91,2.979,2.81,2.86,2.86,228415
BLIN,20100623,1.06,1.06,1.06,1.06,1.06,1892
BLKB,20100623,21.96,22.1,21.7,21.72,21.72,133098
BLTI,20100623,1.43,1.43,1.42,1.42,1.42,24725
BLUD,20100623,19.88,19.88,19.5,19.57,19.57,219769
BMC,20100623,36.84,37.29,36.52,37.03,37.03,2138196
BMRC,20100623,31.53,32.11,31.53,31.66,31.66,4360
BMRN,20100623,20.05,20.0599,19.56,19.74,19.74,412850
BMTC,20100623,17.11,17.43,16.97,17.29,17.29,8173
BMTI,20100623,12.36,12.37,11.35,11.77,11.77,107517
BNCL,20100623,10.24,10.35,10.19,10.23,10.23,46278
BNCN,20100623,10.05,10.22,10.02,10.02,10.02,1399
BNHN,20100623,6.19,6.37,6.19,6.34,6.34,1316
BNHNA,20100623,5.65,5.83,5.5,5.77,5.77,24041
BNSO,20100623,1.09,1.09,1.01,1.01,1.01,200
BNVI,20100623,0.43,0.43,0.415,0.4199,0.4199,234861
BOBE,20100623,26.3,26.34,25.75,26.01,26.01,298865
BOCH,20100623,4.69,4.74,4.68,4.68,4.68,4531
BOFI,20100623,15.36,15.48,14.23,15.05,15.05,107390
BOKF,20100623,52.26,52.26,50.985,51.17,51.17,88662
BOLT,20100623,8.56,8.68,8.37,8.41,8.41,86078
BONT,20100623,10.44,10.82,10.14,10.4,10.4,611323
BOOM,20100623,16.03,16.56,15.82,16.25,16.25,97856
BOOT,20100623,19.9,19.9,19.28,19.29,19.29,19926
BOSC,20100623,0.91,0.98,0.91,0.98,0.98,200
